mode,best_epoch,best_val_cindex,test_cindex,test_event3y_acc,test_highrisk_acc,mean_weight_baseline,mean_weight_structure,mean_weight_state,mean_weight_dynamics
full,60,0.792244551372771,0.8072069332522427,0.7183908224105835,0.6896551847457886,0.3207065463066101,0.2688843011856079,0.22192737460136414,0.1884816288948059
drop_baseline,63,0.7852391735069346,0.8092595408240839,0.8103448152542114,0.7068965435028076,0.0,0.4335085153579712,0.3289671242237091,0.2375243455171585
drop_structure,60,0.7908293235210869,0.8157214535502508,0.7356321811676025,0.6839080452919006,0.509627103805542,0.0,0.2715795040130615,0.21879325807094574
drop_state,53,0.7711576563826776,0.7579443515280523,0.7126436829566956,0.6781609058380127,0.40533193945884705,0.30687153339385986,0.0,0.2877964973449707
drop_dynamics,45,0.8001698273422021,0.8084232932948152,0.7298850417137146,0.7011494040489197,0.3839821219444275,0.31665247678756714,0.299365371465683,0.0
