Cluster,N,"Age, years","Education, years",Baseline MMSE,Baseline CDR global,State MMSE,State CDR global,State CDR-SB,State ADAS,State FAQ,MMSE delta 6m,MMSE delta 12m,CDRSB delta 6m,CDRSB delta 12m,ADAS delta 6m,ADAS delta 12m,FAQ delta 6m,FAQ delta 12m,"Observed progression event, n (%)","3-year progression, n (%)","High-risk, n (%)"
higher-risk phenotype,78,75.23 ± 7.15,0 (0.0%),15.51 ± 2.57,0 (0.0%),26.36 ± 1.75,0.51 ± 0.06,24.98 ± 4.33,0.50 ± 0.25,2.61 ± 1.14,22.94 ± 5.02,6.02 ± 5.27,0.15 ± 1.56,-1.67 ± 4.43,0.13 ± 0.47,0.81 ± 1.04,0.01 ± 3.44,3.24 ± 4.52,0.51 ± 2.21,1.49 ± 3.97,48 (61.5%),39 (50.0%),31 (39.7%)
lower-risk phenotype,96,71.61 ± 7.15,0 (0.0%),15.75 ± 2.77,0 (0.0%),28.56 ± 1.37,0.46 ± 0.13,28.72 ± 1.22,0.42 ± 0.23,0.95 ± 0.67,11.99 ± 4.66,0.97 ± 1.45,0.11 ± 1.03,0.18 ± 1.60,0.03 ± 0.27,-0.09 ± 0.53,-0.22 ± 2.20,-1.00 ± 4.31,-0.27 ± 1.25,-0.05 ± 1.53,19 (19.8%),9 (9.4%),8 (8.3%)
