epoch,lr,train_total_loss,train_survival_loss,train_event3y_loss,train_highrisk_loss,train_c_index,train_event3y_acc,train_highrisk_acc,val_total_loss,val_survival_loss,val_event3y_loss,val_highrisk_loss,val_c_index,val_event3y_acc,val_highrisk_acc
1,0.001,6.9981255531311035,5.987010955810547,0.9774245619773865,1.0448046922683716,0.6426351646138873,0.40644362568855286,0.6902107000350952,5.524688720703125,4.523264408111572,0.9783279299736023,1.024520754814148,0.6367884451996602,0.4797687828540802,0.6647398471832275
2,0.001,6.959478378295898,5.952899932861328,0.9739997386932373,1.0391565561294556,0.7014128939154949,0.43742257356643677,0.6641883850097656,5.486816883087158,4.488900661468506,0.9751076102256775,1.020725131034851,0.6952704616256018,0.49132946133613586,0.6242774724960327
3,0.001,6.919802665710449,5.9175944328308105,0.9706041216850281,1.0338125228881836,0.7327046346947679,0.4535315930843353,0.6195787191390991,5.4487810134887695,4.454277992248535,0.9716278314590454,1.0173773765563965,0.7261399037099971,0.49132946133613586,0.6184970736503601
4,0.001,6.879965782165527,5.882523059844971,0.9668514132499695,1.0280340909957886,0.7471557539349599,0.48203223943710327,0.5861214399337769,5.4089813232421875,4.41841983795166,0.9675083756446838,1.0136146545410156,0.7446898895497026,0.5202311873435974,0.560693621635437
5,0.001,6.839479923248291,5.847114086151123,0.9626124501228333,1.0221197605133057,0.7556868141088029,0.5006195902824402,0.565055787563324,5.36843729019165,4.382238388061523,0.9629765152931213,1.0094215869903564,0.7527612574341547,0.5202311873435974,0.5317919254302979
6,0.001,6.799317359924316,5.8125410079956055,0.9576172828674316,1.0159356594085693,0.7611168909621774,0.5043370723724365,0.5501858592033386,5.328922748565674,4.347789287567139,0.9575486183166504,1.0047177076339722,0.75672613990371,0.5260115265846252,0.5202311873435974
7,0.001,6.759010314941406,5.778498649597168,0.9518926739692688,1.0091300010681152,0.7650434607510823,0.5229244232177734,0.5452292561531067,5.289974689483643,4.31423282623291,0.9517313838005066,0.9997519850730896,0.7618238459359955,0.5491329431533813,0.5202311873435974
8,0.001,6.717930316925049,5.744715690612793,0.9451437592506409,1.001285433769226,0.7686210021143068,0.5588600039482117,0.5501858592033386,5.250574111938477,4.2810797691345215,0.945148229598999,0.9938405156135559,0.7649391107335033,0.5953757166862488,0.5144508481025696
9,0.001,6.676709175109863,5.71194314956665,0.937329113483429,0.9922023415565491,0.7721918313924221,0.5910781025886536,0.562577486038208,5.212005615234375,4.249717712402344,0.9374608993530273,0.9871148467063904,0.7681959784763523,0.6127167344093323,0.5260115265846252
10,0.001,6.635226249694824,5.680149555206299,0.9282049536705017,0.9819490313529968,0.7754471926704031,0.6146220564842224,0.5885997414588928,5.17388391494751,4.219746112823486,0.9287405610084534,0.9795352816581726,0.7718776550552251,0.6358381509780884,0.5491329431533813
11,0.001,6.593903064727783,5.649507522583008,0.9180462956428528,0.970745325088501,0.7786689935228379,0.643122673034668,0.6133829355239868,5.136742115020752,4.191616058349609,0.9191606640815735,0.9710910320281982,0.7745681110167092,0.647398829460144,0.5664739608764648
12,0.001,6.5536417961120605,5.6205644607543945,0.9072049260139465,0.9589498043060303,0.7821055810987684,0.6629492044448853,0.6332094073295593,5.102043628692627,4.166437149047852,0.9091144800186157,0.9620981216430664,0.7778249787595582,0.6647398471832275,0.5722543001174927
13,0.001,6.514070510864258,5.593048572540283,0.8957760334014893,0.9462681412696838,0.785575729100245,0.6741016507148743,0.6443618535995483,5.068599700927734,4.142946243286133,0.8989096879959106,0.9523974061012268,0.7806570376663835,0.6705201864242554,0.5838150382041931
14,0.001,6.475366115570068,5.567054748535156,0.8837839365005493,0.9328382015228271,0.7887371211866967,0.6815365552902222,0.6456010341644287,5.037106513977051,4.121644973754883,0.8884287476539612,0.9424946308135986,0.7822146700651373,0.6531791687011719,0.589595377445221
15,0.001,6.437734603881836,5.5426177978515625,0.8713263869285583,0.9189067482948303,0.7916703023794341,0.6951673030853271,0.6592317223548889,5.007899761199951,4.102909088134766,0.8775346875190735,0.9324464201927185,0.7843387142452563,0.6589595079421997,0.5953757166862488
16,0.001,6.401346683502197,5.519850254058838,0.8586291074752808,0.9043639302253723,0.7949994965936168,0.7001239061355591,0.6728624701499939,4.978732109069824,4.084710121154785,0.866237998008728,0.9218063354492188,0.7868875672613991,0.676300585269928,0.6127167344093323
17,0.001,6.366877555847168,5.4995198249816895,0.8457540273666382,0.8889621496200562,0.797785011913951,0.7063196897506714,0.6852540373802185,4.948902130126953,4.066721439361572,0.8542436957359314,0.9101177453994751,0.7875955819881053,0.6705201864242554,0.6184970736503601
18,0.001,6.33494234085083,5.481508255004883,0.8331126570701599,0.8737550377845764,0.800140953787294,0.7174721360206604,0.6914498209953308,4.921235084533691,4.050792694091797,0.8422101736068726,0.8986748456954956,0.7900028320589069,0.6820809245109558,0.6300578117370605
19,0.001,6.305255889892578,5.46560525894165,0.8208103179931641,0.8584906458854675,0.8025438802564017,0.732342004776001,0.6988847851753235,4.893892765045166,4.035671234130859,0.8300594091415405,0.8863838315010071,0.7938261115831209,0.7052022814750671,0.6416184902191162
20,0.001,6.277468681335449,5.450944423675537,0.8090709447860718,0.8439778089523315,0.8051884417894419,0.7360594868659973,0.71623295545578,4.871537685394287,4.024765491485596,0.8186001181602478,0.8749451041221619,0.797649391107335,0.710982620716095,0.6531791687011719
21,0.001,6.251475811004639,5.437851428985596,0.7974853515625,0.8297633528709412,0.8078262912373729,0.7385377883911133,0.7236679196357727,4.8505167961120605,4.0153069496154785,0.8070680499076843,0.8633521199226379,0.7986406117247239,0.710982620716095,0.6589595079421997
22,0.001,6.227299690246582,5.42572546005249,0.786475658416748,0.8166735768318176,0.809766083833943,0.741016149520874,0.729863703250885,4.836376190185547,4.011072635650635,0.7971184253692627,0.8534888029098511,0.7986406117247239,0.7167630195617676,0.6647398471832275
23,0.001,6.20522403717041,5.414706230163574,0.7762702703475952,0.8047661781311035,0.8117394368560593,0.74349445104599,0.7335811853408813,4.823780059814453,4.007527828216553,0.787979006767273,0.8445256352424622,0.7999150382327952,0.710982620716095,0.6647398471832275
24,0.001,6.184823989868164,5.404620170593262,0.7666497826576233,0.7937571406364441,0.8130684297076887,0.74349445104599,0.732342004776001,4.816876411437988,4.008172035217285,0.7802091240882874,0.8371992111206055,0.8004814500141603,0.710982620716095,0.6647398471832275
25,0.001,6.165624618530273,5.395013332366943,0.7576069235801697,0.7836165428161621,0.815182736517099,0.74349445104599,0.732342004776001,4.813671112060547,4.011396884918213,0.7734068632125854,0.8311416506767273,0.8013310676862079,0.710982620716095,0.6647398471832275
26,0.001,6.147869110107422,5.3859968185424805,0.7492058873176575,0.7745389938354492,0.8166661073262409,0.741016149520874,0.7311028838157654,4.812764644622803,4.015589714050293,0.7677748203277588,0.8265754580497742,0.8013310676862079,0.710982620716095,0.6647398471832275
